"","enrolled_at","unenrolled_at","fully_participated_at","purchased_statement_at","gender","country","age_range","highest_education_level","employment_status","employment_area","detected_country"
"6633",1,0,0,0,0,"GH","26-35","university_degree","looking_for_work","accountancy_banking_and_finance","GH"
"6634",1,0,0,0,1,"GB","26-35","university_degree","looking_for_work","health_and_social_care","GB"
"6647",1,0,0,0,1,"IN","26-35","university_degree","working_full_time","it_and_information_services","IN"
"6649",1,0,0,0,0,"GB","26-35","university_degree","self_employed","business_consulting_and_management","GB"
"6670",1,0,0,0,1,"PK","18-25","tertiary","looking_for_work","engineering_and_manufacturing","PK"
"6690",1,0,0,0,1,"IR","26-35","university_masters","self_employed","it_and_information_services","IR"
"6695",1,0,1,0,1,"GH","46-55","tertiary","working_full_time","it_and_information_services","GH"
"6696",1,0,0,0,1,"NG","36-45","university_degree","working_full_time","media_and_publishing","NG"
"6704",1,0,0,0,1,"IN","26-35","university_masters","working_full_time","it_and_information_services","IN"
"6712",1,0,0,0,1,"LK","18-25","professional","working_full_time","property_and_construction","LK"
"6763",1,1,0,0,0,"JP","46-55","university_degree","working_full_time","teaching_and_education","JP"
"6789",1,0,0,0,0,"PK","26-35","university_masters","not_working","teaching_and_education","PK"
"6806",1,0,0,0,1,"NG","18-25","secondary","self_employed","retail_and_sales","--"
"6811",1,0,0,0,1,"PK","18-25","secondary","looking_for_work","teaching_and_education","--"
"6822",1,0,0,0,1,"ES","36-45","professional","working_full_time","it_and_information_services","ES"
"6829",1,0,0,0,1,"UG","26-35","professional","looking_for_work","it_and_information_services","US"
"6847",1,0,0,0,1,"RO","18-25","university_degree","full_time_student","engineering_and_manufacturing","RO"
"6854",1,0,0,0,1,"GB","36-45","university_masters","working_full_time","it_and_information_services","GB"
"6863",1,0,0,0,0,"US",">65","secondary","working_full_time","retail_and_sales","US"
"6881",1,0,1,0,0,"GB",">65","university_degree","retired","teaching_and_education","GB"
"6882",1,0,0,0,0,"HU","26-35","university_masters","working_full_time","media_and_publishing","HU"
"6897",1,0,0,0,1,"GH","26-35","university_degree","looking_for_work","retail_and_sales","GH"
"6898",1,1,1,0,1,"GB","56-65","university_degree","retired","accountancy_banking_and_finance","GB"
"6926",1,0,0,0,0,"BY","26-35","university_masters","working_full_time","it_and_information_services","BY"
"6931",1,1,0,0,0,"UA","26-35","university_degree","self_employed","teaching_and_education","UA"
"6932",1,0,0,0,1,"DK","26-35","university_degree","working_full_time","it_and_information_services","DK"
"6939",1,0,1,0,1,"GB",">65","secondary","retired","charities_and_voluntary_work","GB"
"6965",1,0,0,0,1,"IT","26-35","tertiary","working_full_time","science_and_pharmaceuticals","IT"
"6967",1,0,1,0,1,"UG","26-35","university_degree","working_full_time","it_and_information_services","UG"
"6985",1,0,0,0,0,"GB",">65","university_degree","working_part_time","teaching_and_education","GB"
"7019",1,0,0,0,1,"AE","26-35","university_degree","working_full_time","engineering_and_manufacturing","AE"
"7024",1,0,1,0,0,"GB","56-65","university_degree","working_full_time","public_sector","GB"
"7034",1,0,0,0,0,"GB",">65","university_degree","working_part_time","it_and_information_services","GB"
"7045",1,0,1,0,0,"KE","26-35","university_degree","working_full_time","it_and_information_services","KE"
"7048",1,0,0,0,1,"MM","26-35","university_masters","self_employed","energy_and_utilities","KR"
"7050",1,0,0,0,1,"NG","36-45","university_degree","self_employed","it_and_information_services","--"
"7053",1,0,0,0,1,"LR","36-45","university_degree","working_full_time","armed_forces_and_emergency_services","LR"
"7069",1,0,1,0,0,"US","56-65","university_masters","working_full_time","public_sector","US"
"7087",1,0,0,0,0,"ZA","26-35","university_degree","working_full_time","law","ZA"
"7088",1,0,0,0,1,"BD","36-45","university_masters","working_full_time","it_and_information_services","BD"
"7089",1,0,0,0,1,"IN","26-35","professional","working_full_time","environment_and_agriculture","IN"
"7111",1,0,0,0,1,"IE","18-25","tertiary","working_full_time","accountancy_banking_and_finance","GB"
"7117",1,0,0,0,0,"GB","56-65","tertiary","retired","marketing_advertising_and_pr","GB"
"7126",1,0,0,0,1,"CM","26-35","university_masters","working_full_time","it_and_information_services","CM"
"7137",1,0,0,0,1,"AM","18-25","secondary","full_time_student","creative_arts_and_culture","AM"
"7149",1,1,0,0,0,"CY","18-25","secondary","full_time_student","media_and_publishing","CY"
"7165",1,0,0,0,0,"RS","36-45","university_masters","working_full_time","law","RS"
"7167",1,0,0,0,1,"NG","26-35","university_degree","looking_for_work","business_consulting_and_management","NG"
"7190",1,0,0,0,1,"GH","26-35","tertiary","self_employed","charities_and_voluntary_work","GH"
"7196",1,0,0,0,1,"IN","26-35","university_degree","unemployed","engineering_and_manufacturing","IN"
"7200",1,1,0,0,0,"LC","26-35","university_degree","working_full_time","teaching_and_education","LC"
"7201",1,0,0,0,1,"GB","56-65","tertiary","working_full_time","engineering_and_manufacturing","GB"
"7205",1,0,0,0,1,"IE","56-65","professional","self_employed","accountancy_banking_and_finance","IE"
"7217",1,0,0,0,1,"AU","46-55","professional","working_full_time","it_and_information_services","AU"
"7242",1,0,0,0,1,"IN","36-45","university_masters","working_full_time","it_and_information_services","IN"
"7248",1,0,0,0,1,"GB","36-45","university_masters","looking_for_work","health_and_social_care","GB"
"7252",1,0,0,0,0,"HR","26-35","university_masters","working_full_time","teaching_and_education","DE"
"7255",1,1,0,0,1,"GB","26-35","less_than_secondary","working_part_time","teaching_and_education","GB"
"7285",1,0,1,0,0,"LR","36-45","professional","working_full_time","it_and_information_services","LR"
"7286",1,0,0,0,1,"BD","26-35","professional","self_employed","health_and_social_care","BD"
"7288",1,0,1,0,0,"ZA","56-65","university_degree","working_full_time","engineering_and_manufacturing","ZA"
"7297",1,0,0,0,0,"AU","56-65","university_degree","self_employed","business_consulting_and_management","AU"
"7300",1,0,0,0,1,"US","56-65","secondary","retired","charities_and_voluntary_work","US"
"7302",1,0,0,0,0,"TH","36-45","university_masters","working_full_time","health_and_social_care","TH"
"7305",1,0,0,0,0,"GB","36-45","university_degree","working_part_time","creative_arts_and_culture","GB"
"7306",1,1,1,0,0,"US","46-55","tertiary","working_full_time","it_and_information_services","US"
