"","enrolled_at","unenrolled_at","fully_participated_at","purchased_statement_at","gender","country","age_range","highest_education_level","employment_status","employment_area","detected_country"
"8688",1,0,0,0,1,"BD","26-35","university_masters","not_working","it_and_information_services","BD"
"8691",1,1,0,0,0,"GB","46-55","university_masters","self_employed","business_consulting_and_management","GB"
"8716",1,0,1,0,1,"GB","36-45","professional","working_full_time","business_consulting_and_management","GB"
"8723",1,0,0,0,1,"ZW","26-35","university_degree","self_employed","it_and_information_services","ZA"
"8730",1,0,0,0,0,"RU","36-45","university_degree","working_full_time","teaching_and_education","RU"
"8732",1,0,0,0,1,"GB","46-55","university_degree","self_employed","retail_and_sales","GB"
"8739",1,0,0,0,1,"GB","36-45","university_masters","looking_for_work","business_consulting_and_management","GB"
"8749",1,0,0,0,1,"IN","26-35","university_degree","working_full_time","it_and_information_services","IN"
"8750",1,0,0,0,1,"BD","26-35","university_degree","looking_for_work","science_and_pharmaceuticals","BD"
"8760",1,0,0,0,1,"PE","18-25","professional","full_time_student","engineering_and_manufacturing","PE"
"8776",1,1,0,0,0,"ZA","46-55","university_degree","working_full_time","health_and_social_care","ZA"
"8779",1,0,0,0,0,"GB",">65","university_degree","retired","charities_and_voluntary_work","GB"
"8784",1,0,0,0,0,"GR","46-55","university_masters","working_part_time","teaching_and_education","GR"
"8787",1,0,0,0,0,"AU","26-35","university_masters","working_full_time","accountancy_banking_and_finance","AU"
"8799",1,0,1,0,0,"US","56-65","university_degree","retired","science_and_pharmaceuticals","US"
"8803",1,0,0,0,1,"CY","56-65","university_degree","retired","creative_arts_and_culture","AE"
"8805",1,1,0,0,1,"NO","36-45","tertiary","working_part_time","hospitality_tourism_and_sport","NO"
"8808",1,0,0,0,1,"IT","26-35","university_degree","working_full_time","it_and_information_services","IT"
"8815",1,0,1,0,0,"MX","46-55","university_degree","working_full_time","public_sector","MX"
"8822",1,0,1,0,1,"KE","26-35","university_doctorate","self_employed","law","KE"
"8830",1,0,0,0,1,"MX","36-45","university_degree","working_full_time","it_and_information_services","MX"
"8834",1,1,0,0,1,"US","56-65","university_degree","working_full_time","it_and_information_services","US"
"8853",1,1,0,0,1,"GB","56-65","tertiary","retired","charities_and_voluntary_work","GB"
"8874",1,0,0,0,0,"GB","46-55","university_masters","full_time_student","science_and_pharmaceuticals","GB"
"8904",1,0,0,0,0,"US","26-35","university_degree","working_full_time","teaching_and_education","US"
"8905",1,0,0,0,0,"GB","36-45","secondary","not_working","public_sector","GB"
"8908",1,0,0,0,1,"GB","36-45","university_degree","self_employed","retail_and_sales","GB"
"8910",1,0,1,0,1,"GB","46-55","university_masters","working_full_time","public_sector","GB"
"8915",1,0,0,0,1,"IE","56-65","tertiary","working_full_time","engineering_and_manufacturing","IE"
"8926",1,0,0,0,1,"NG","46-55","university_degree","working_full_time","media_and_publishing","NG"
"8929",1,0,0,0,0,"AU","56-65","university_degree","working_part_time","public_sector","AU"
"8930",1,0,0,0,1,"RW","18-25","secondary","unemployed","science_and_pharmaceuticals","--"
"8968",1,0,1,0,1,"GB",">65","university_masters","retired","charities_and_voluntary_work","GB"
"8969",1,0,1,0,0,"CA","56-65","university_degree","not_working","health_and_social_care","CA"
"8973",1,0,0,0,1,"GH","26-35","university_degree","working_full_time","teaching_and_education","GH"
"8974",1,0,0,0,0,"GB","18-25","secondary","full_time_student","retail_and_sales","GB"
"8981",1,0,0,0,1,"UA","36-45","university_masters","working_full_time","it_and_information_services","UA"
"8984",1,0,0,0,1,"BD","26-35","professional","not_working","health_and_social_care","BD"
"8995",1,0,1,0,0,"NL","46-55","university_doctorate","working_part_time","health_and_social_care","NL"
"9010",1,1,0,0,1,"AU",">65","university_masters","working_full_time","teaching_and_education","AU"
"9012",1,0,0,0,1,"GB","36-45","professional","working_full_time","public_sector","GB"
"9013",1,0,0,0,0,"LY","26-35","university_degree","working_part_time","teaching_and_education","LY"
"9016",1,0,0,0,0,"GB","46-55","professional","working_full_time","marketing_advertising_and_pr","GB"
"9031",1,1,0,0,1,"CA","46-55","university_degree","self_employed","it_and_information_services","CA"
"9038",1,0,0,0,0,"MX","36-45","university_degree","working_full_time","accountancy_banking_and_finance","MX"
"9044",1,0,0,0,1,"UA","56-65","university_masters","working_part_time","engineering_and_manufacturing","UA"
"9045",1,0,1,0,1,"GB","46-55","university_degree","working_full_time","accountancy_banking_and_finance","GB"
"9056",1,1,0,0,0,"IN","26-35","university_masters","unemployed","teaching_and_education","IN"
"9070",1,0,1,1,1,"DE","56-65","tertiary","working_full_time","it_and_information_services","DE"
"9080",1,0,0,0,0,"GB","18-25","tertiary","full_time_student","retail_and_sales","GB"
"9091",1,0,0,0,0,"IN","18-25","secondary","full_time_student","engineering_and_manufacturing","IN"
"9092",1,0,1,0,0,"CY","56-65","university_masters","not_working","teaching_and_education","CY"
"9097",1,0,0,0,0,"UA","26-35","university_masters","self_employed","teaching_and_education","UA"
"9108",1,0,1,0,0,"GB","46-55","professional","self_employed","teaching_and_education","GB"
"9109",1,1,0,0,1,"GB","26-35","secondary","working_full_time","public_sector","GB"
"9110",1,0,0,0,0,"GB","18-25","secondary","full_time_student","hospitality_tourism_and_sport","GB"
"9111",1,0,0,0,1,"BR","18-25","professional","working_part_time","teaching_and_education","BR"
"9117",1,0,0,0,0,"GB","46-55","university_degree","full_time_student","accountancy_banking_and_finance","GB"
"9135",1,0,0,0,0,"AO","26-35","university_degree","working_part_time","it_and_information_services","AO"
"9153",1,0,0,0,0,"GB","26-35","university_masters","working_part_time","public_sector","GB"
"9157",1,0,0,0,1,"IE",">65","tertiary","retired","public_sector","IE"
"9164",1,0,0,0,0,"BR","36-45","university_degree","self_employed","health_and_social_care","BR"
"9174",1,0,1,0,0,"IE",">65","university_masters","retired","teaching_and_education","IE"
"9177",1,0,1,0,0,"AT","56-65","tertiary","retired","charities_and_voluntary_work","AT"
"9178",1,0,0,0,1,"ZA","26-35","university_degree","looking_for_work","law","ZA"
"9180",1,0,0,0,1,"GB","36-45","tertiary","working_part_time","transport_and_logistics","GB"
"9202",1,0,0,0,0,"IN","56-65","university_masters","looking_for_work","media_and_publishing","IN"
"9204",1,0,0,0,0,"BD","18-25","university_degree","working_part_time","teaching_and_education","BD"
"9212",1,0,0,0,0,"IN","26-35","professional","working_part_time","it_and_information_services","IN"
"9214",1,0,0,0,1,"EG","36-45","university_masters","working_full_time","accountancy_banking_and_finance","EG"
"9220",1,0,0,0,1,"NL",">65","secondary","retired","environment_and_agriculture","NL"
"9223",1,0,0,0,0,"US","36-45","university_degree","working_full_time","it_and_information_services","US"
"9270",1,0,0,0,0,"RU","26-35","university_masters","working_full_time","science_and_pharmaceuticals","RU"
"9278",1,0,0,0,1,"FR","56-65","secondary","working_full_time","energy_and_utilities","FR"
"9298",1,0,1,0,1,"IE","56-65","secondary","retired","it_and_information_services","IE"
"9307",1,0,1,0,0,"GB","36-45","university_degree","working_full_time","it_and_information_services","GB"
"9311",1,0,0,0,1,"GB","56-65","university_masters","retired","armed_forces_and_emergency_services","GB"
"9312",1,0,0,0,1,"NZ","46-55","professional","working_full_time","it_and_information_services","NZ"
"9316",1,0,0,0,1,"GB",">65","professional","retired","engineering_and_manufacturing","GB"
"9318",1,0,0,0,0,"AE","18-25","secondary","working_full_time","engineering_and_manufacturing","AE"
"9319",1,0,0,0,1,"EG","18-25","university_degree","working_part_time","environment_and_agriculture","EG"
"9320",1,0,0,0,1,"GH","26-35","tertiary","not_working","charities_and_voluntary_work","--"
"9322",1,0,0,0,1,"GB","36-45","professional","looking_for_work","it_and_information_services","GB"
"9324",1,0,0,0,1,"ID","26-35","university_degree","working_full_time","energy_and_utilities","ID"
"9330",1,0,0,0,1,"IL","26-35","university_degree","working_part_time","teaching_and_education","IL"
"9332",1,0,0,0,1,"IE","36-45","university_masters","working_full_time","teaching_and_education","IE"
"9344",1,0,0,0,1,"ID","26-35","university_degree","working_full_time","energy_and_utilities","ID"
"9365",1,0,0,0,1,"GB","46-55","university_degree","working_full_time","public_sector","GB"
"9387",1,0,1,0,1,"GB","56-65","professional","retired","it_and_information_services","GB"
"9390",1,0,0,0,0,"NP","36-45","university_degree","working_full_time","public_sector","NP"
"9394",1,0,0,0,0,"RO","46-55","university_degree","working_full_time","teaching_and_education","RO"
"9395",1,0,1,1,0,"SE","46-55","university_masters","working_full_time","business_consulting_and_management","SE"
"9397",1,0,0,0,0,"IT","36-45","university_degree","working_full_time","teaching_and_education","IT"
"9405",1,0,1,0,0,"GB",">65","tertiary","self_employed","health_and_social_care","GB"
"9411",1,0,1,0,1,"NG","26-35","university_degree","looking_for_work","business_consulting_and_management","NG"
"9417",1,0,0,0,1,"UA","46-55","university_degree","self_employed","it_and_information_services","UA"
"9441",1,0,0,0,0,"CA",">65","tertiary","working_part_time","law","CA"
"9445",1,0,0,0,0,"GB","36-45","university_degree","unemployed","charities_and_voluntary_work","GB"
"9454",1,0,0,0,0,"AU","46-55","university_doctorate","self_employed","creative_arts_and_culture","AU"
"9458",1,0,1,0,0,"MX",">65","university_masters","working_full_time","public_sector","MX"
"9464",1,0,0,0,0,"GB","36-45","university_masters","working_full_time","hospitality_tourism_and_sport","GB"
"9469",1,0,1,0,1,"SE","46-55","university_doctorate","working_full_time","environment_and_agriculture","SE"
"9473",1,0,0,0,0,"VE","18-25","secondary","full_time_student","teaching_and_education","VE"
"9475",1,0,0,0,1,"US",">65","university_degree","working_full_time","business_consulting_and_management","US"
"9489",1,0,0,0,0,"GB","26-35","university_degree","working_part_time","retail_and_sales","GB"
"9498",1,1,0,0,0,"MM","18-25","professional","full_time_student","engineering_and_manufacturing","MM"
"9513",1,0,1,0,1,"GB","46-55","university_degree","working_part_time","health_and_social_care","GB"
"9514",1,0,1,0,1,"GB","56-65","secondary","retired","armed_forces_and_emergency_services","GB"
"9515",1,0,0,0,1,"ZA","26-35","university_degree","working_full_time","property_and_construction","ZA"
"9536",1,1,0,0,1,"DE","56-65","secondary","working_full_time","engineering_and_manufacturing","DE"
"9537",1,0,0,0,1,"GB","26-35","university_degree","working_full_time","public_sector","GB"
"9553",1,0,0,0,1,"GH","18-25","secondary","unemployed","engineering_and_manufacturing","GH"
"9554",1,0,1,0,0,"GB","46-55","university_masters","working_full_time","health_and_social_care","GB"
"9561",1,1,1,0,0,"NG","36-45","tertiary","unemployed","it_and_information_services","NG"
"9564",1,0,0,0,1,"GR","46-55","university_degree","working_full_time","marketing_advertising_and_pr","GR"
"9568",1,0,0,0,0,"PT","36-45","university_masters","working_full_time","health_and_social_care","PT"
"9574",1,1,0,0,0,"CA","46-55","university_degree","working_full_time","health_and_social_care","CA"
"9578",1,0,1,0,1,"BO","46-55","university_masters","working_full_time","teaching_and_education","BO"
"9581",1,0,0,0,1,"GB",">65","university_degree","retired","charities_and_voluntary_work","GB"
"9586",1,0,0,0,0,"GB","56-65","university_degree","working_full_time","teaching_and_education","GB"
"9587",1,1,0,0,0,"AU",">65","university_masters","retired","charities_and_voluntary_work","AU"
"9589",1,0,0,0,1,"AU","56-65","secondary","self_employed","property_and_construction","AU"
"9603",1,0,0,0,0,"MN","26-35","university_degree","self_employed","it_and_information_services","MN"
"9611",1,0,0,0,1,"PT","56-65","university_degree","retired","it_and_information_services","PT"
"9622",1,1,0,0,0,"NZ","26-35","university_degree","unemployed","retail_and_sales","NZ"
"9629",1,0,0,0,1,"NL","18-25","university_degree","full_time_student","hospitality_tourism_and_sport","NL"
"9647",1,0,1,0,1,"GB","56-65","professional","not_working","it_and_information_services","GB"
"9661",1,0,1,0,1,"CA","36-45","university_degree","working_full_time","accountancy_banking_and_finance","CA"
"9694",1,0,1,0,0,"MD","36-45","university_degree","self_employed","business_consulting_and_management","MD"
"9702",1,0,0,0,1,"CA","18-25","less_than_secondary","full_time_student","science_and_pharmaceuticals","CA"
"9710",1,0,1,0,0,"GB","56-65","secondary","working_full_time","energy_and_utilities","GB"
"9719",1,1,0,0,1,"US","46-55","university_degree","looking_for_work","media_and_publishing","US"
"9736",1,0,1,0,1,"ZA","46-55","tertiary","working_full_time","engineering_and_manufacturing","AU"
"9737",1,1,0,0,0,"PL","18-25","university_degree","working_full_time","accountancy_banking_and_finance","GB"
"9745",1,1,0,0,1,"CR","36-45","university_degree","working_full_time","it_and_information_services","CR"
"9753",1,0,0,0,0,"BY","36-45","university_degree","looking_for_work","teaching_and_education","BY"
"9759",1,0,0,0,0,"CH","36-45","university_doctorate","self_employed","health_and_social_care","CH"
"9764",1,0,1,0,0,"AU","56-65","university_degree","working_part_time","teaching_and_education","AU"
"9768",1,1,0,0,1,"GB","18-25","tertiary","full_time_student","charities_and_voluntary_work","GB"
"9774",1,0,0,0,1,"IN","36-45","university_degree","working_full_time","it_and_information_services","IN"
"9788",1,0,1,0,0,"GB","36-45","university_degree","not_working","retail_and_sales","GB"
"9790",1,0,1,0,0,"AU",">65","university_degree","self_employed","teaching_and_education","AU"
"9798",1,1,0,0,0,"NG","18-25","university_degree","working_part_time","it_and_information_services","NG"
"9802",1,1,0,0,0,"GB","56-65","university_degree","working_part_time","teaching_and_education","GB"
"9806",1,0,0,0,0,"GB","18-25","tertiary","working_part_time","retail_and_sales","GB"
"9808",1,0,0,0,1,"GB","<18","university_masters","working_part_time","engineering_and_manufacturing","GB"
"9816",1,1,0,0,1,"RW","18-25","secondary","full_time_student","business_consulting_and_management","--"
"9830",1,0,0,0,0,"NL","26-35","secondary","unemployed","charities_and_voluntary_work","NL"
"9835",1,0,0,0,1,"US",">65","university_masters","retired","engineering_and_manufacturing","US"
"9841",1,0,0,0,1,"CI","46-55","university_masters","working_full_time","environment_and_agriculture","CI"
"9850",1,0,0,0,0,"AU","56-65","university_masters","full_time_student","health_and_social_care","AU"
"9852",1,0,0,0,0,"GB","26-35","university_degree","unemployed","it_and_information_services","GB"
"9853",1,0,1,0,1,"KE","26-35","secondary","self_employed","law","KE"
"9858",1,1,0,0,0,"RU","26-35","university_degree","working_full_time","it_and_information_services","RU"
"9867",1,0,1,0,1,"GB",">65","professional","retired","charities_and_voluntary_work","GB"
"9881",1,0,0,0,1,"GB","56-65","university_masters","working_full_time","business_consulting_and_management","GB"
"9896",1,0,0,0,1,"GB","46-55","professional","self_employed","it_and_information_services","GB"
"9898",1,1,0,0,0,"UY","36-45","university_degree","working_full_time","creative_arts_and_culture","UY"
"9901",1,0,1,0,1,"GB",">65","university_degree","retired","it_and_information_services","GB"
"9902",1,0,1,0,1,"TZ","26-35","tertiary","looking_for_work","teaching_and_education","TZ"
"9927",1,0,0,0,0,"UA","18-25","secondary","working_part_time","media_and_publishing","UA"
"9928",1,0,0,0,1,"IT","26-35","university_masters","looking_for_work","teaching_and_education","IT"
"9929",1,0,1,0,0,"UG","36-45","university_degree","working_full_time","it_and_information_services","UG"
"9938",1,0,0,0,1,"VN","26-35","university_masters","working_full_time","teaching_and_education","AU"
"9939",1,0,0,0,0,"GB","18-25","university_degree","unemployed","business_consulting_and_management","GB"
"9959",1,0,0,0,1,"ES","18-25","secondary","full_time_student","it_and_information_services","ES"
"9960",1,0,0,0,1,"GB","46-55","university_masters","self_employed","science_and_pharmaceuticals","GB"
"9963",1,1,0,0,1,"DE","46-55","less_than_secondary","working_full_time","engineering_and_manufacturing","DE"
"9996",1,0,1,0,1,"IT","36-45","university_masters","working_full_time","it_and_information_services","IT"
"10015",1,1,0,0,0,"ID","18-25","secondary","looking_for_work","marketing_advertising_and_pr","ID"
"10028",1,0,0,0,0,"IT","26-35","university_masters","working_part_time","law","IT"
"10043",1,0,0,0,1,"BH","46-55","university_degree","working_full_time","teaching_and_education","BH"
"10050",1,0,0,0,1,"MM","46-55","secondary","full_time_student","teaching_and_education","MM"
"10054",1,0,0,0,0,"GB","26-35","university_masters","self_employed","creative_arts_and_culture","GB"
"10062",1,1,1,0,1,"US",">65","university_degree","retired","it_and_information_services","US"
"10080",1,0,0,0,1,"CH","46-55","university_masters","working_full_time","engineering_and_manufacturing","DE"
"10098",1,0,0,0,1,"IN","36-45","professional","working_full_time","engineering_and_manufacturing","IN"
"10103",1,0,0,0,0,"IL","46-55","university_degree","self_employed","environment_and_agriculture","IL"
"10113",1,0,0,0,0,"US","36-45","university_masters","working_part_time","teaching_and_education","US"
"10165",1,0,0,0,1,"IE","36-45","university_degree","working_full_time","it_and_information_services","IE"
"10166",1,0,1,0,0,"BB","56-65","university_doctorate","looking_for_work","business_consulting_and_management","BB"
"10167",1,0,0,0,0,"GB","36-45","university_degree","not_working","science_and_pharmaceuticals","GB"
"10170",1,0,0,0,1,"GB","56-65","tertiary","working_part_time","transport_and_logistics","GB"
"10182",1,0,1,0,0,"BY","26-35","university_degree","working_full_time","retail_and_sales","BY"
"10197",1,0,0,0,0,"RS","46-55","university_degree","full_time_student","it_and_information_services","RS"
"10198",1,0,0,0,0,"KZ","36-45","university_degree","working_full_time","recruitment_and_pr","RO"
"10207",1,0,0,0,1,"GB","46-55","university_degree","working_full_time","public_sector","GB"
"10222",1,0,0,0,0,"ES","56-65","university_degree","self_employed","health_and_social_care","ES"
"10225",1,0,0,0,0,"GB","26-35","university_degree","working_full_time","accountancy_banking_and_finance","GB"
"10229",1,0,0,0,1,"KE","46-55","university_masters","working_full_time","teaching_and_education","KE"
"10234",1,0,1,0,0,"GB","46-55","university_masters","not_working","health_and_social_care","GB"
"10241",1,0,0,0,0,"ID","18-25","secondary","not_working","science_and_pharmaceuticals","ID"
"10245",1,0,0,0,0,"DE","36-45","university_degree","working_full_time","health_and_social_care","DE"
"10254",1,1,0,0,0,"GB","26-35","university_degree","working_full_time","public_sector","GB"
"10257",1,0,0,0,0,"GB","18-25","apprenticeship","working_full_time","it_and_information_services","GB"
"10264",1,1,0,0,0,"CA","36-45","professional","self_employed","business_consulting_and_management","CA"
"10274",1,0,0,0,1,"NG","18-25","professional","looking_for_work","engineering_and_manufacturing","NO"
"10275",1,0,1,0,1,"US","46-55","university_doctorate","working_full_time","law","US"
"10279",1,0,1,0,1,"IN","36-45","university_degree","working_full_time","accountancy_banking_and_finance","IN"
"10280",1,0,0,0,1,"PG","26-35","tertiary","working_full_time","engineering_and_manufacturing","AU"
"10284",1,0,1,0,1,"GB",">65","professional","retired","teaching_and_education","GB"
"10292",1,0,0,0,1,"GB","36-45","university_degree","working_full_time","public_sector","GB"
"10293",1,0,0,0,1,"AF","26-35","university_degree","working_full_time","public_sector","BD"
"10298",1,0,0,0,1,"GB","26-35","university_degree","self_employed","transport_and_logistics","GB"
"10303",1,0,0,0,1,"GB","56-65","university_masters","working_full_time","it_and_information_services","GB"
"10305",1,0,0,0,1,"AU",">65","university_degree","working_part_time","health_and_social_care","AU"
"10320",1,0,1,0,0,"GB","36-45","university_degree","working_full_time","teaching_and_education","GB"
"10328",1,0,0,0,1,"GB","46-55","university_masters","working_full_time","public_sector","GB"
"10330",1,0,0,0,0,"GB","56-65","university_degree","working_full_time","teaching_and_education","GB"
"10332",1,0,1,0,1,"GB","26-35","university_degree","working_full_time","it_and_information_services","GB"
"10336",1,0,0,0,1,"MM","26-35","university_degree","not_working","engineering_and_manufacturing","MM"
"10345",1,0,0,0,0,"GB","46-55","professional","working_part_time","teaching_and_education","GB"
"10356",1,0,0,0,1,"GR","26-35","university_degree","working_part_time","teaching_and_education","GR"
"10376",1,0,0,0,1,"GB",">65","university_degree","retired","teaching_and_education","GB"
"10377",1,0,1,0,0,"GB","56-65","university_degree","retired","armed_forces_and_emergency_services","GB"
"10379",1,1,0,0,0,"MX","18-25","secondary","looking_for_work","creative_arts_and_culture","MX"
"10382",1,0,0,0,1,"GB","36-45","tertiary","working_part_time","hospitality_tourism_and_sport","GB"
"10392",1,1,0,0,0,"IT","36-45","university_masters","working_part_time","public_sector","IT"
"10396",1,0,1,0,0,"ES","26-35","university_degree","working_full_time","it_and_information_services","ES"
"10398",1,0,1,0,0,"GB","56-65","university_degree","looking_for_work","it_and_information_services","GB"
"10411",1,0,1,0,0,"GB","56-65","university_degree","not_working","accountancy_banking_and_finance","GB"
"10419",1,0,1,0,1,"US",">65","university_degree","looking_for_work","public_sector","US"
"10432",1,0,1,0,1,"ZA","36-45","university_degree","working_full_time","teaching_and_education","ZA"
"10434",1,1,0,0,1,"CA","26-35","university_degree","working_part_time","hospitality_tourism_and_sport","CA"
"10437",1,0,0,0,1,"MY","26-35","university_degree","unemployed","it_and_information_services","MY"
"10440",1,0,0,0,1,"IN","36-45","university_masters","working_full_time","it_and_information_services","--"
"10457",1,0,0,0,0,"IN","46-55","professional","self_employed","charities_and_voluntary_work","IN"
"10464",1,0,1,0,1,"GB","56-65","university_masters","working_part_time","business_consulting_and_management","GB"
"10475",1,0,0,0,1,"AU","56-65","university_doctorate","working_full_time","teaching_and_education","AU"
"10479",1,0,0,0,0,"UA","46-55","university_doctorate","working_full_time","teaching_and_education","UA"
"10498",1,0,0,0,1,"AE","46-55","university_masters","working_full_time","teaching_and_education","AE"
"10503",1,0,1,0,1,"NL","36-45","secondary","working_full_time","it_and_information_services","NL"
"10505",1,0,0,0,0,"RU","56-65","university_degree","working_full_time","teaching_and_education","RU"
"10511",1,0,0,0,1,"NG","36-45","university_degree","looking_for_work","it_and_information_services","NG"
"10522",1,0,0,0,1,"TJ","26-35","university_masters","working_full_time","environment_and_agriculture","TJ"
"10524",1,0,0,0,1,"DE","56-65","tertiary","working_full_time","engineering_and_manufacturing","--"
"10527",1,0,1,0,0,"GB",">65","secondary","retired","charities_and_voluntary_work","GB"
"10542",1,0,0,0,0,"GB","56-65","university_masters","working_part_time","health_and_social_care","GB"
"10546",1,0,1,0,0,"GB",">65","university_masters","retired","teaching_and_education","GB"
"10556",1,1,0,0,1,"CR","46-55","professional","working_full_time","public_sector","CR"
"10560",1,0,0,0,0,"GB","56-65","university_degree","working_full_time","public_sector","GB"
"10568",1,1,0,0,1,"GB","46-55","university_masters","working_full_time","teaching_and_education","GB"
"10570",1,0,0,0,0,"IT","46-55","university_masters","self_employed","science_and_pharmaceuticals","IT"
"10571",1,0,0,0,1,"GB",">65","university_doctorate","retired","law","GB"
"10572",1,1,0,0,1,"AO","18-25","tertiary","full_time_student","business_consulting_and_management","GB"
"10580",1,0,0,0,1,"GB","36-45","university_degree","working_full_time","it_and_information_services","GB"
"10581",1,0,0,0,1,"IT","36-45","university_degree","self_employed","business_consulting_and_management","IT"
"10583",1,1,1,0,1,"PH",">65","university_masters","retired","business_consulting_and_management","PH"
"10596",1,0,1,0,1,"ZA","26-35","university_degree","working_full_time","it_and_information_services","ZA"
"10610",1,0,1,0,1,"GB",">65","tertiary","self_employed","creative_arts_and_culture","US"
"10615",1,0,0,0,0,"ES","46-55","university_doctorate","working_full_time","teaching_and_education","ES"
"10616",1,0,0,0,1,"NL","46-55","university_masters","working_full_time","it_and_information_services","NL"
"10618",1,1,0,0,1,"BE","36-45","tertiary","working_full_time","it_and_information_services","BE"
"10625",1,0,0,0,1,"NG","18-25","tertiary","full_time_student","teaching_and_education","NO"
"10628",1,1,0,0,0,"US","56-65","secondary","working_full_time","public_sector","US"
"10632",1,0,0,0,0,"GB","26-35","university_degree","looking_for_work","media_and_publishing","GB"
"10640",1,0,0,0,0,"US","26-35","secondary","working_part_time","armed_forces_and_emergency_services","US"
"10643",1,0,0,0,0,"US","56-65","university_degree","unemployed","teaching_and_education","US"
"10668",1,0,0,0,1,"HU","26-35","university_degree","full_time_student","science_and_pharmaceuticals","HU"
"10676",1,0,0,0,1,"IN","18-25","secondary","full_time_student","law","IN"
"10684",1,0,1,0,1,"NG","26-35","university_degree","working_full_time","law","NG"
"10686",1,0,1,0,1,"UA","36-45","university_degree","working_full_time","it_and_information_services","UA"
"10689",1,0,0,0,0,"KE","26-35","university_degree","working_full_time","it_and_information_services","KE"
"10699",1,0,0,0,0,"US","46-55","university_masters","working_full_time","health_and_social_care","--"
"10700",1,0,0,0,0,"IT","46-55","university_doctorate","working_full_time","law","IT"
"10706",1,0,0,0,0,"FR","26-35","university_masters","looking_for_work","law","FR"
"10707",1,0,0,0,1,"GB","26-35","university_masters","working_full_time","transport_and_logistics","GB"
"10709",1,1,0,0,0,"GB","26-35","university_masters","working_full_time","energy_and_utilities","GB"
"10721",1,0,0,0,1,"FR",">65","university_doctorate","retired","teaching_and_education","FR"
"10723",1,0,0,0,1,"GB","56-65","professional","working_full_time","public_sector","GB"
"10730",1,0,1,0,1,"GB","56-65","professional","working_full_time","teaching_and_education","GB"
"10735",1,0,0,0,0,"ES","36-45","university_doctorate","working_full_time","health_and_social_care","ES"
"10745",1,0,1,0,1,"GB","56-65","university_masters","working_full_time","it_and_information_services","GB"
"10752",1,0,0,0,1,"GE","18-25","university_degree","not_working","it_and_information_services","GE"
"10769",1,1,0,0,0,"FR","18-25","university_masters","full_time_student","business_consulting_and_management","DE"
"10795",1,0,0,0,1,"NG","56-65","professional","retired","health_and_social_care","NG"
"10800",1,0,0,0,1,"US","56-65","university_masters","retired","law","US"
"10816",1,0,0,0,1,"GB",">65","university_masters","self_employed","teaching_and_education","UA"
"10819",1,0,0,0,1,"MX","<18","secondary","not_working","creative_arts_and_culture","MX"
"10827",1,1,0,0,1,"KZ","18-25","university_degree","working_full_time","it_and_information_services","KZ"
"10853",1,0,1,0,0,"IT","46-55","university_degree","self_employed","media_and_publishing","IT"
"10872",1,1,0,0,0,"CA","26-35","university_doctorate","working_full_time","health_and_social_care","CA"
"10888",1,0,1,0,0,"GB",">65","university_doctorate","retired","teaching_and_education","GB"
"10918",1,0,0,0,0,"FR","36-45","university_masters","working_full_time","law","CH"
"10929",1,0,1,0,0,"AT","56-65","university_doctorate","working_full_time","teaching_and_education","AT"
"10955",1,0,1,0,1,"GB","46-55","university_masters","working_full_time","health_and_social_care","GB"
"10973",1,0,0,0,1,"MX","56-65","secondary","working_full_time","teaching_and_education","MX"
"10980",1,0,0,0,0,"NZ","36-45","tertiary","self_employed","health_and_social_care","NZ"
"10982",1,0,0,0,0,"BY","26-35","university_degree","self_employed","teaching_and_education","BY"
"10983",1,0,1,0,0,"AU","56-65","university_degree","working_full_time","teaching_and_education","AU"
"10989",1,1,0,0,0,"IT","36-45","tertiary","working_full_time","teaching_and_education","IT"
"10990",1,0,0,0,0,"PL","36-45","university_masters","working_full_time","teaching_and_education","PL"
"10992",1,0,1,0,1,"GB","56-65","university_degree","retired","science_and_pharmaceuticals","GB"
"11003",1,0,0,0,0,"BR","18-25","secondary","full_time_student","creative_arts_and_culture","BR"
"11004",1,0,0,0,1,"QA","56-65","university_degree","working_part_time","engineering_and_manufacturing","QA"
"11011",1,0,1,0,1,"GB",">65","secondary","retired","it_and_information_services","GB"
"11012",1,0,0,0,0,"LV","26-35","university_masters","working_full_time","health_and_social_care","LV"
"11015",1,0,0,0,1,"IN","36-45","university_masters","working_full_time","teaching_and_education","IN"
"11024",1,0,0,0,1,"US",">65","university_doctorate","retired","teaching_and_education","US"
"11036",1,0,0,0,1,"GB","36-45","university_masters","looking_for_work","business_consulting_and_management","GB"
"11053",1,0,1,1,1,"AU","36-45","professional","working_full_time","charities_and_voluntary_work","AU"
"11073",1,0,0,0,0,"AL","36-45","university_masters","working_part_time","teaching_and_education","AL"
"11084",1,0,0,0,1,"GB","56-65","university_degree","working_full_time","engineering_and_manufacturing","GB"
"11093",1,0,0,0,0,"GB","46-55","secondary","working_part_time","teaching_and_education","GB"
"11095",1,1,0,0,0,"GB",">65","university_degree","working_part_time","health_and_social_care","GB"
"11097",1,0,0,0,0,"GB","46-55","apprenticeship","working_full_time","teaching_and_education","GB"
"11099",1,0,1,1,1,"IT","18-25","secondary","full_time_student","law","IT"
"11100",1,0,0,0,1,"IQ","26-35","university_degree","working_full_time","teaching_and_education","IQ"
"11105",1,0,1,0,0,"IN","56-65","university_masters","retired","health_and_social_care","IN"
